https://deb.debian.org/debian/dists/jessie/InRelease:
2022-05-29 21:12:10 ERROR 404: Not Found.
2022-05-29 21:12:38 URL:https://deb.debian.org/debian/pool/main/libc/libcap2/libcap2_2.24-8_amd64.deb [15320/15320] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/libcap2_1%3a2.24-8_amd64.deb" [1]
2022-05-29 21:12:38 URL:https://deb.debian.org/debian/pool/main/libc/libcap2/libcap2-bin_2.24-8_amd64.deb [25418/25418] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/libcap2-bin_1%3a2.24-8_amd64.deb" [1]
2022-05-29 21:12:38 URL:https://deb.debian.org/debian/pool/main/libe/libestr/libestr0_0.1.9-1.1_amd64.deb [8334/8334] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/libestr0_0.1.9-1.1_amd64.deb" [1]
2022-05-29 21:12:38 URL:https://deb.debian.org/debian/pool/main/libf/libffi/libffi6_3.1-2+deb8u1_amd64.deb [20200/20200] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/libffi6_3.1-2+deb8u1_amd64.deb" [1]
2022-05-29 21:12:38 URL:https://deb.debian.org/debian/pool/main/libg/libgcrypt20/libgcrypt20_1.6.3-2+deb8u4_amd64.deb [391502/391502] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/libgcrypt20_1.6.3-2+deb8u4_amd64.deb" [1]
2022-05-29 21:12:39 URL:https://deb.debian.org/debian/pool/main/libg/libgpg-error/libgpg-error0_1.17-3_amd64.deb [94918/94918] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/libgpg-error0_1.17-3_amd64.deb" [1]
2022-05-29 21:12:39 URL:https://deb.debian.org/debian/pool/main/libi/libidn/libidn11_1.29-1+deb8u2_amd64.deb [136208/136208] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/libidn11_1.29-1+deb8u2_amd64.deb" [1]
2022-05-29 21:12:39 URL:https://deb.debian.org/debian/pool/main/libl/liblocale-gettext-perl/liblocale-gettext-perl_1.05-8+b1_amd64.deb [18974/18974] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/liblocale-gettext-perl_1.05-8+b1_amd64.deb" [1]
2022-05-29 21:12:39 URL:https://deb.debian.org/debian/pool/main/libl/liblogging/liblogging-stdlog0_1.0.4-1_amd64.deb [12176/12176] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/liblogging-stdlog0_1.0.4-1_amd64.deb" [1]
2022-05-29 21:12:39 URL:https://deb.debian.org/debian/pool/main/libl/liblognorm/liblognorm1_1.0.1-3_amd64.deb [24096/24096] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/liblognorm1_1.0.1-3_amd64.deb" [1]
2022-05-29 21:12:39 URL:https://deb.debian.org/debian/pool/main/libm/libmnl/libmnl0_1.0.3-5_amd64.deb [11964/11964] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/libmnl0_1.0.3-5_amd64.deb" [1]
2022-05-29 21:12:39 URL:https://deb.debian.org/debian/pool/main/libn/libnetfilter-acct/libnetfilter-acct1_1.0.2-1.1_amd64.deb [6724/6724] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/libnetfilter-acct1_1.0.2-1.1_amd64.deb" [1]
2022-05-29 21:12:39 URL:https://deb.debian.org/debian/pool/main/libn/libnfnetlink/libnfnetlink0_1.0.1-3_amd64.deb [13456/13456] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/libnfnetlink0_1.0.1-3_amd64.deb" [1]
2022-05-29 21:12:39 URL:https://deb.debian.org/debian/pool/main/libp/libpipeline/libpipeline1_1.4.0-1_amd64.deb [27908/27908] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/libpipeline1_1.4.0-1_amd64.deb" [1]
2022-05-29 21:12:39 URL:https://deb.debian.org/debian/pool/main/libp/libpsl/libpsl0_0.5.1-1_amd64.deb [41620/41620] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/libpsl0_0.5.1-1_amd64.deb" [1]
